   4906 E 51 St & Lexington Ave
   4894 Bayard St & Baxter St
   4886 1 Ave & E 62 St
   4790 E 56 St & Madison Ave
   4788 Division St & Bowery
   4676 6 Ave & Broome St
   4662 Broadway & W 53 St
   4654 Pike St & E Broadway
   4652 West Thames St
   4652 E 84 St & Park Ave
   4614 W 11 St & 6 Ave
   4608 W 84 St & Broadway
   4590 Broadway & W 37 St
   4586 Watts St & Greenwich St
   4574 Broadway & Battery Pl
   4564 W 63 St & Broadway
   4550 Columbus Ave & W 72 St
   4540 E 55 St & 2 Ave
   4516 W 52 St & 11 Ave
   4498 E 53 St & Lexington Ave
   4466 Washington Pl & 6 Ave
   4464 N 6 St & Bedford Ave
   4450 Grand St & Greene St
   4446 Liberty St & Broadway
   4442 W 13 St & Hudson St
   4388 Norfolk St & Broome St
   4384 Broadway & W 36 St
   4350 Bank St & Washington St
   4258 11 Ave & W 59 St
   4250 W 67 St & Broadway
   4240 Mercer St & Spring St
   4236 E 11 St & Broadway
   4234 Hanson Pl & St Felix St
   4224 5 Ave & E 78 St
   4220 N 8 St & Driggs Ave
   4182 E 53 St & Madison Ave
   4174 Murray St & West St
   4164 E 47 St & 2 Ave
   4154 Clinton St & Grand St
   4136 Forsyth St & Canal St
   4114 Franklin St & W Broadway
   4112 York St & Jay St
   4112 E 41 St & Madison Ave
   4070 Pearl St & Hanover Square
   4048 6 Ave & Canal St
   4036 W 70 St & Amsterdam Ave
   3936 E 37 St & Lexington Ave
   3898 DeKalb Ave & Hudson Ave
   3860 Central Park West & W 72 St
   3848 Hudson St & Reade St
   3846 St James Pl & Oliver St
   3824 W 34 St & 11 Ave
   3814 Wythe Ave & Metropolitan Ave
   3800 E 55 St & 3 Ave
   3766 Perry St & Bleecker St
   3762 5 Ave & E 73 St
   3748 E 2 St & Avenue C
   3738 Bialystoker Pl & Delancey St
   3720 Reade St & Broadway
   3718 E 84 St & 1 Ave
   3710 Peck Slip & Front St
   3696 Leonard St & Church St
   3690 Avenue D & E 3 St
   3636 South St & Gouverneur Ln
   3614 Rivington St & Chrystie St
   3600 E 5 St & Avenue C
   3544 Centre St & Worth St
   3534 Warren St & Church St
   3530 William St & Pine St
   3500 E 59 St & Madison Ave
   3470 Kent Ave & N 7 St
   3416 Fulton St & William St
   3346 State St & Smith St
   3346 Front St & Washington St
   3344 Columbia St & Rivington St
   3336 W 14 St & The High Line
   3302 Harrison St & Hudson St
   3288 Central Park West & W 68 St
   3270 Cliff St & Fulton St
   3268 Madison St & Clinton St
   3260 Catherine St & Monroe St
   3234 John St & William St
   3224 Front St & Maiden Ln
   3162 Clark St & Henry St
   3140 Lexington Ave & E 63 St
   3108 Fulton St & Broadway
   3094 PABT Valet
   3094 3 Ave & E 62 St
   3090 Clinton Ave & Myrtle Ave
   2986 E 75 St & 3 Ave
   2970 S 5 Pl & S 4 St
   2962 E 43 St & 2 Ave
   2924 E 67 St & Park Ave
   2912 E 55 St & Lexington Ave
   2900 E 77 St & 3 Ave
   2898 Lawrence St & Willoughby St
   2882 Central Park West & W 76 St
   2866 W 84 St & Columbus Ave
   2854 Duane St & Greenwich St
   2838 Bus Slip & State St
   2802 Old Slip & Front St
   2794 W 59 St & 10 Ave
   2784 Maiden Ln & Pearl St
   2776 Vernon Blvd & 50 Ave
   2774 W 64 St & West End Ave
   2766 Riverside Blvd & W 67 St
   2760 South St & Whitehall St
   2734 Adelphi St & Myrtle Ave
   2724 E 72 St & Park Ave
   2722 E 51 St & 1 Ave
   2716 E 47 St & 1 Ave
   2708 E 85 St & York Ave
   2692 Amsterdam Ave & W 82 St
   2682 Henry St & Atlantic Ave
   2642 Bedford Ave & Nassau Ave
   2632 Spruce St & Nassau St
   2618 Metropolitan Ave & Bedford Ave
   2614 E 6 St & Avenue D
   2608 Cadman Plaza West & Montague St
   2606 Market St & Cherry St
   2598 Broad St & Bridge St
   2590 Stanton St & Mangin St
   2578 Willoughby St & Fleet St
   2568 Milton St & Franklin St
   2568 Graham Ave & Conselyea St
   2526 Water - Whitehall Plaza
   2436 W 78 St & Broadway
   2424 Dean St & 4 Ave
   2404 Madison St & Montgomery St
   2338 5 Ave & E 63 St
   2316 S 4 St & Wythe Ave
   2288 E 81 St & York Ave
